candidate_id,left_canonical_id,right_canonical_id,title_similarity,abstract_similarity,first_author_key,year_delta,decision,rationale,reviewer_id,decided_at_utc
PAIR-4ca338a335f163b2,CAN-e8ade0480349870686ee,CAN-fe83015cf4924b9d9ba9,0.548148,0.967129,priyam sahoo,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-4d1ae1690af1adde,CAN-b4195c64e64cb7ec508b,CAN-7e348a654ee7da95ae2c,0.925234,0.000000,david ozog,2,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-4d3cf7dc42d18991,CAN-0756de76cc79ac54ec77,CAN-8b65b2c77506241d723e,0.909091,0.994801,daryl posnett,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-51917f2dd3a77826,CAN-d4f1bb630411821aa797,CAN-a55b9a233beb689839a5,0.966967,1.000000,jimmy agung gunawan,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-5c50687ae017c22e,CAN-3ed63397e99a3438183f,CAN-8f55fc6742c14d7cedec,0.672566,0.883605,fran silavong,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-63c056a4c9fcb667,CAN-b13bb772f65c0f0b02cd,CAN-025a7adc4252d225fc7f,0.920188,0.196929,satyadhar joshi,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-6a52636b37e36c7b,CAN-d4f1bb630411821aa797,CAN-2b146f5c1b3e6374d482,0.701613,0.968766,jimmy agung gunawan,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-6e281a9899b8c5d0,CAN-ac1c06ebcf420918c681,CAN-9e9bb70f5f51758ee056,0.938272,0.000000,wannita takerngsaksiri,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-76c28c3457cca8d4,CAN-ff225bb14c94c05b7a58,CAN-9abaddd48193dd43da85,0.894737,1.000000,anonymous author s,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-8291520f69ce3a06,CAN-09e12141a098f7bc9a41,CAN-ff225bb14c94c05b7a58,0.733668,1.000000,anonymous author s,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-8c88b6074463f05d,CAN-9fbca3f6fcdc48d6df25,CAN-117ba5655c0f43a0b598,0.855422,0.900227,amirali sajadi,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-91587b95f314e2d4,CAN-79b5056f22633e68c10d,CAN-5fa4e64084d3879c2e9c,0.352941,1.000000,anonymous,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-935fa4b98a8af152,CAN-cabf128b05844e0a7959,CAN-76a7921450b1e277f984,0.577181,0.854345,thomas zimmermann,2,keep_separate,"Research paper and later keynote have different titles, years and evidence targets; similarity is thematic only.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-94d1a45ada5b366d,CAN-2b146f5c1b3e6374d482,CAN-a55b9a233beb689839a5,0.671815,0.968766,jimmy agung gunawan,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-9f0138f423be252b,CAN-091a78f5a8b0a931f6ca,CAN-2e37c24e76e00226ff66,0.919355,0.586010,a svyatkovskiy,1,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-a6b45587bce61852,CAN-70e83d35cfe43943822d,CAN-8518308ec397d53661fa,0.989247,0.879574,eman abdullah alomar,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-a74b0eeb1a672c1a,CAN-65c895148dae261d405d,CAN-111abf1772d63d806fba,0.986486,0.932789,zahra shakeri hossein abad,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-ae53a60a32806046,CAN-3eb30db192b5bbddb26f,CAN-c0aa43d9e6055e072e52,0.975207,0.999292,zezhou yang,2,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-c27757cbe54901e8,CAN-5fa4e64084d3879c2e9c,CAN-32cef85026edc30a1e8c,0.280000,1.000000,anonymous,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-c36f1f34a3215a83,CAN-e660e56caf7aaf125d3b,CAN-ba5f1a1d922afc10177d,0.197802,1.000000,ivan kushnir,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-d14c9a4da3d20c6d,CAN-5cd5e316cdfe3f7059a8,CAN-f721247a0f24632a3abc,0.993548,0.960812,igor regis da silva simoes,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-d22d98b16575391d,CAN-fa441b5e00833c146c99,CAN-1c04c3b6783dfe5a3826,0.884848,0.026188,krunal bhavsar,0,keep_separate,Scrumban and Scrumbanfall are distinct proposed process integrations.,d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-d29329f75b3991cd,CAN-f84924a16e79f62a2fe5,CAN-bf26855ef294caff989c,0.928571,0.012104,arseniy zaostrovnykh,1,keep_separate,Thesis and conference report may be related but metadata does not establish the same study population or result.,d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-d5a9be62aa7c41e4,CAN-6892277518a319b849f7,CAN-f635f701d718b00937c6,0.941176,0.995902,daniel graziotin,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-d9dc6cd490f9d3ef,CAN-763c4f76104ded973517,CAN-f272f35d15d0e5eb60af,0.311111,0.986072,sheriff adepoju,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-de885cd0f26932c3,CAN-e7927c1256d02233acc5,CAN-0187aaf45fe1ebffb2c2,0.906250,0.011479,vali tawosi,2,keep_separate,Distinct replication targets and materially different supplied abstracts.,d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-e328f7bce59c7356,CAN-253754d57190a61c13ce,CAN-ac1c06ebcf420918c681,0.938272,0.000000,wannita takerngsaksiri,1,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-e44b6aea07a08272,CAN-3d304ed2eb187474008f,CAN-5eb95ff768d611d3f8e3,0.972603,0.995848,ratnadira widyasari,1,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-ee570453a940eb1d,CAN-21b349806bd68d59ba3b,CAN-1cc64a6ec0126ee17c7f,0.875000,0.995636,md shamimur rahman,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
