source_id,source_type,title,url,closest_overlap,initial_disposition,verified_on
S24,scholarly,"Token-Budget-Aware LLM Reasoning",https://aclanthology.org/2025.findings-acl.1274/,"adaptive reasoning-token budgets",optimization-baseline,2026-08-12
S25,scholarly,"Reasoning in Token Economies: Budget-Aware Evaluation of LLM Reasoning Strategies",https://aclanthology.org/2024.emnlp-main.1112/,"compute-matched cost-performance evaluation",evaluation-baseline,2026-08-12
S26,scholarly,"Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems",https://arxiv.org/abs/2410.02506,"multi-agent communication pruning and token efficiency",optimization-baseline,2026-08-12
S27,scholarly,"Budget-Aware Anytime Reasoning with LLM-Synthesized Preference Data",https://aclanthology.org/2026.findings-acl.417/,"quality improvement under fixed reasoning budget",optimization-baseline,2026-08-12
S28,scholarly,"Experimental Evidence on the Productivity Effects of Generative Artificial Intelligence",https://doi.org/10.1126/science.adh2586,"preregistered causal productivity and quality measurement",outcome-method-baseline,2026-08-12
S29,scholarly,"Generative AI at Work",https://doi.org/10.1093/qje/qjae044,"field productivity effects; quality and worker heterogeneity",outcome-method-baseline,2026-08-12
S30,scholarly,"The Impact of AI on Developer Productivity: Evidence from GitHub Copilot",https://arxiv.org/abs/2302.06590,"controlled productivity experiment",outcome-method-baseline,2026-08-12
S31,standard,"ISO/IEC 42001:2023 Artificial intelligence management system",https://www.iso.org/standard/42001,"organizational AI management; risk; opportunity; continuous improvement",must-align,2026-08-12
S32,standard,"OpenTelemetry Generative AI Semantic Conventions",https://opentelemetry.io/docs/specs/semconv/registry/attributes/gen-ai/,"standardized model workflow token and trace attributes",schema-baseline,2026-08-12
S33,standard,"FinOps Open Cost and Usage Specification",https://focus.finops.org/,"normalized technology cost and usage schema",schema-baseline,2026-08-12
S34,patent,"US20260119922A1 Dynamic and adaptive prediction of model costs prior to utilization of AI models",https://patents.google.com/patent/US20260119922A1/en,"pre-execution agent cost prediction and blocking",patent-boundary,2026-08-12
S35,patent,"US12524210B2 Hybrid inference system for COGS reduction",https://patents.google.com/patent/US12524210B2/,"acceptance-aware local/remote model routing and COGS reduction",patent-boundary,2026-08-12
S36,patent,"US20250097163A1 Resource allocation for accessing cloud based services",https://patents.google.com/patent/US20250097163A1/en,"allocation of GenAI cloud-service resources among clients",patent-boundary,2026-08-12
S37,patent,"US20250363200A1 Dynamic enforcement of management rules associated with AI pipeline model routing",https://patents.google.com/patent/US20250363200A1,"cost quality latency rules and tenant willingness-to-pay routing",patent-boundary,2026-08-12
S38,scholarly,"Can LLM Agents Be CFOs? A Benchmark for Resource Allocation in Dynamic Enterprise Environments",https://arxiv.org/abs/2603.23638,"long-horizon enterprise resource allocation under uncertainty",evaluation-boundary,2026-08-12
S39,scholarly,"Does Generative AI Narrow Education-Based Productivity Gaps? Evidence from a Randomized Experiment",https://www.nber.org/papers/w34851,"causal productivity and heterogeneous access effects",outcome-fairness-baseline,2026-08-12
