source_id,source_level,telemetry,cost_normalization,workflow_attribution,outcome_definition,independent_outcome_verification,counterfactual_baseline,attribution_confidence,fully_loaded_cost,roi,risk_adjustment,hierarchy,dynamic_allocation,reserve_carry_forward,access_fairness,anti_gaming,evaluation_method,open_artifacts,direct_overlap,remaining_gap,closeness_0_14
S15,software,yes,partial,yes,yes,partial,no,no,partial,no,partial,partial,partial,no,no,partial,production software,yes,"telemetry cost evaluation and monitoring","outcome contract and portfolio allocation",5
S16,software,yes,partial,yes,yes,partial,no,no,partial,no,no,partial,partial,no,no,partial,production software,yes,"tracing evaluation monitoring optimization","causal value and hierarchical policy",5
S17,software standard,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,instrumentation conventions,yes,"AI trace semantics","outcome and allocation semantics",2
S18,working paper,partial,partial,yes,yes,partial,partial,partial,yes,yes,yes,organization,yes,unclear,partial,partial,framework and examples,unclear,"closed-loop enterprise AI ROI optimization","request-level reconciliation independent evidence and controlled allocation test",11
S19,working paper,no,partial,project,yes,partial,yes,partial,yes,yes,yes,portfolio,partial,no,partial,yes,multi-layer framework and eight cases,no,"AI ROI value drivers risk and stage gates","trace-to-outcome ledger and marginal budget experiment",10
S20,empirical paper,yes,yes,yes,accuracy,no,no,no,partial,no,no,no,yes,no,no,no,learned cascade experiments,yes,"cost-quality model allocation","enterprise outcome and hierarchy",4
S21,empirical paper,yes,yes,yes,preference quality,partial,no,no,partial,no,no,no,yes,no,no,no,router benchmark,yes,"dynamic cost-quality routing","verified workflow value and governance",4
S22,empirical paper,yes,yes,yes,answer quality,partial,no,no,partial,no,no,no,yes,no,no,no,POMDP routing experiments,unclear,"cost-quality model mixing","incremental business value and hierarchy",4
S23,empirical paper,yes,partial,request,task quality,no,no,no,partial,no,no,no,yes,no,no,no,prompt-compression experiments,yes,"token reduction with quality preservation","portfolio value and allocation",3
S24,peer-reviewed paper,yes,partial,task,accuracy,no,no,no,partial,no,no,no,yes,no,no,no,budget-aware reasoning experiments,yes,"adaptive token budgeting","organizational outcomes and budgets",3
S25,peer-reviewed paper,yes,partial,task,performance,no,no,no,partial,no,no,no,partial,no,no,partial,compute-matched benchmark,unclear,"budget-aware cost-performance evaluation","business outcomes and hierarchy",4
S26,empirical paper,yes,yes,agent workflow,benchmark quality,no,no,no,partial,no,partial,no,yes,no,no,partial,graph-pruning experiments,yes,"multi-agent token-cost optimization","verified value allocation",4
S27,peer-reviewed paper,yes,partial,task,solution quality,no,no,no,partial,no,no,no,yes,no,no,no,anytime reasoning experiments,unclear,"quality under token budgets","enterprise outcome verification",3
S28,peer-reviewed experiment,partial,no,task,quality and time,yes,yes,yes,partial,partial,no,no,no,no,partial,partial,preregistered randomized experiment,partial,"verified incremental productivity measurement","resource tracing and hierarchical allocation",7
S29,peer-reviewed field study,partial,no,workflow,productivity and quality,yes,yes,yes,partial,partial,partial,organization,no,no,yes,partial,staggered field deployment,yes,"causal organizational value measurement","token-level cost and allocation policy",8
S30,controlled experiment,partial,no,task,completion time,yes,yes,partial,partial,partial,no,no,no,no,partial,partial,controlled experiment,unclear,"causal developer productivity measurement","fully loaded cost and portfolio allocation",6
S31,international standard,partial,partial,organization,objectives and impacts,yes,yes,partial,yes,partial,yes,organization,partial,no,yes,yes,management-system audit,no,"AI value risk governance and continual improvement","specific outcome ledger and tested allocation method",8
S32,telemetry standard,yes,partial,yes,no,no,no,no,no,no,no,no,no,no,no,no,semantic conventions,yes,"workflow model and token telemetry","outcome evidence value and allocation",2
S33,cost standard,yes,yes,partial,no,no,no,no,yes,no,no,organization,partial,no,no,no,cost schema and conformance,yes,"normalized cost and allocation schema","AI outcome evidence and causal value",4
S34,patent,yes,yes,agent task,no,no,no,no,partial,no,partial,no,yes,no,no,no,patented system,no,"pre-execution cost prediction and budget blocking","realized outcome value and hierarchy",4
S35,patent,yes,yes,coding task,user acceptance,partial,no,no,partial,no,no,no,yes,no,no,no,patented routing system,no,"acceptance-aware COGS reduction","enterprise causal value and allocation",5
S36,patent,partial,partial,client,no,no,no,no,partial,no,partial,client hierarchy,yes,partial,partial,partial,patented allocation system,no,"GenAI service resource allocation among clients","independently verified outcome value",5
S37,patent,yes,yes,tenant request,quality,partial,no,no,partial,partial,partial,tenant,yes,no,no,yes,patented rules engine,no,"dynamic cost quality rules and unit economics","outcome receipts and causal portfolio value",6
S38,empirical benchmark,yes,partial,enterprise decision,firm performance,yes,simulated baseline,partial,partial,partial,yes,organization,yes,no,partial,partial,long-horizon simulator benchmark,unclear,"enterprise resource allocation under uncertainty","AI consumption-to-outcome accounting",7
S39,working paper experiment,partial,no,task,productivity,yes,yes,yes,partial,partial,no,no,no,no,yes,partial,randomized experiment,partial,"causal productivity and access heterogeneity","AI resource accounting and allocation",7
